user,password,httpUrl
jdoe,123,https://example.com/users/jdoe
asmith,123,https://example.com/users/asmith
alphaadmin,123,https://example.com/users/alphaadmin
vasya,123,https://example.com/users/vasya
ecom0001,Pass!1,https://shop.alpha.example/users/ecom0001
ecom0002,Pass!2,https://shop.alpha.example/users/ecom0002
ecom0003,Pass!3,https://shop.alpha.example/users/ecom0003
ecom0004,Pass!4,https://shop.alpha.example/users/ecom0004
ecom0005,Pass!5,https://shop.alpha.example/users/ecom0005
ecom0006,Pass!6,https://shop.alpha.example/users/ecom0006
ecom0007,Pass!7,https://shop.alpha.example/users/ecom0007
ecom0008,Pass!8,https://shop.alpha.example/users/ecom0008
ecom0009,Pass!9,https://shop.alpha.example/users/ecom0009
ecom0010,Pass!10,https://shop.alpha.example/users/ecom0010
ecom0011,Pass!11,https://shop.alpha.example/users/ecom0011
ecom0012,Pass!12,https://shop.alpha.example/users/ecom0012
ecom0013,Pass!13,https://shop.alpha.example/users/ecom0013
ecom0014,Pass!14,https://shop.alpha.example/users/ecom0014
ecom0015,Pass!15,https://shop.alpha.example/users/ecom0015
ecom0016,Pass!16,https://shop.alpha.example/users/ecom0016
ecom0017,Pass!17,https://shop.alpha.example/users/ecom0017
ecom0018,Pass!18,https://shop.alpha.example/users/ecom0018
ecom0019,Pass!19,https://shop.alpha.example/users/ecom0019
ecom0020,Pass!20,https://shop.alpha.example/users/ecom0020
ecom0021,Pass!21,https://shop.alpha.example/users/ecom0021
ecom0022,Pass!22,https://shop.alpha.example/users/ecom0022
ecom0023,Pass!23,https://shop.alpha.example/users/ecom0023
ecom0024,Pass!24,https://shop.alpha.example/users/ecom0024
ecom0025,Pass!25,https://shop.alpha.example/users/ecom0025
ecom0026,Pass!26,https://shop.alpha.example/users/ecom0026
ecom0027,Pass!27,https://shop.alpha.example/users/ecom0027
ecom0028,Pass!28,https://shop.alpha.example/users/ecom0028
ecom0029,Pass!29,https://shop.alpha.example/users/ecom0029
ecom0030,Pass!30,https://shop.alpha.example/users/ecom0030
ecom0031,Pass!31,https://shop.alpha.example/users/ecom0031
ecom0032,Pass!32,https://shop.alpha.example/users/ecom0032
ecom0033,Pass!33,https://shop.alpha.example/users/ecom0033
ecom0034,Pass!34,https://shop.alpha.example/users/ecom0034
ecom0035,Pass!35,https://shop.alpha.example/users/ecom0035
ecom0036,Pass!36,https://shop.alpha.example/users/ecom0036
ecom0037,Pass!37,https://shop.alpha.example/users/ecom0037
ecom0038,Pass!38,https://shop.alpha.example/users/ecom0038
ecom0039,Pass!39,https://shop.alpha.example/users/ecom0039
ecom0040,Pass!40,https://shop.alpha.example/users/ecom0040
ecom0041,Pass!41,https://shop.alpha.example/users/ecom0041
ecom0042,Pass!42,https://shop.alpha.example/users/ecom0042
ecom0043,Pass!43,https://shop.alpha.example/users/ecom0043
ecom0044,Pass!44,https://shop.alpha.example/users/ecom0044
ecom0045,Pass!45,https://shop.alpha.example/users/ecom0045
ecom0046,Pass!46,https://shop.alpha.example/users/ecom0046
ecom0047,Pass!47,https://shop.alpha.example/users/ecom0047
ecom0048,Pass!48,https://shop.alpha.example/users/ecom0048
ecom0049,Pass!49,https://shop.alpha.example/users/ecom0049
ecom0050,Pass!50,https://shop.alpha.example/users/ecom0050
ecom0051,Pass!51,https://shop.alpha.example/users/ecom0051
ecom0052,Pass!52,https://shop.alpha.example/users/ecom0052
ecom0053,Pass!53,https://shop.alpha.example/users/ecom0053
ecom0054,Pass!54,https://shop.alpha.example/users/ecom0054
ecom0055,Pass!55,https://shop.alpha.example/users/ecom0055
ecom0056,Pass!56,https://shop.alpha.example/users/ecom0056
ecom0057,Pass!57,https://shop.alpha.example/users/ecom0057
ecom0058,Pass!58,https://shop.alpha.example/users/ecom0058
ecom0059,Pass!59,https://shop.alpha.example/users/ecom0059
ecom0060,Pass!60,https://shop.alpha.example/users/ecom0060
ecom0061,Pass!61,https://shop.alpha.example/users/ecom0061
ecom0062,Pass!62,https://shop.alpha.example/users/ecom0062
ecom0063,Pass!63,https://shop.alpha.example/users/ecom0063
ecom0064,Pass!64,https://shop.alpha.example/users/ecom0064
ecom0065,Pass!65,https://shop.alpha.example/users/ecom0065
ecom0066,Pass!66,https://shop.alpha.example/users/ecom0066
ecom0067,Pass!67,https://shop.alpha.example/users/ecom0067
ecom0068,Pass!68,https://shop.alpha.example/users/ecom0068
ecom0069,Pass!69,https://shop.alpha.example/users/ecom0069
ecom0070,Pass!70,https://shop.alpha.example/users/ecom0070
ecom0071,Pass!71,https://shop.alpha.example/users/ecom0071
ecom0072,Pass!72,https://shop.alpha.example/users/ecom0072
ecom0073,Pass!73,https://shop.alpha.example/users/ecom0073
ecom0074,Pass!74,https://shop.alpha.example/users/ecom0074
ecom0075,Pass!75,https://shop.alpha.example/users/ecom0075
ecom0076,Pass!76,https://shop.alpha.example/users/ecom0076
ecom0077,Pass!77,https://shop.alpha.example/users/ecom0077
ecom0078,Pass!78,https://shop.alpha.example/users/ecom0078
ecom0079,Pass!79,https://shop.alpha.example/users/ecom0079
ecom0080,Pass!80,https://shop.alpha.example/users/ecom0080
ecom0081,Pass!81,https://shop.alpha.example/users/ecom0081
ecom0082,Pass!82,https://shop.alpha.example/users/ecom0082
